chem_name,chem_symptoms
Allantoin,dryness
Allantoin,discomfort
Aloe Vera,dryness
Aloe Vera,discomfort
Alpha Hydroxy Acids,dullness
Alpha Hydroxy Acids,uneven skintone
Alpha Hydroxy Acids,exfoliator/cleanser
Alpha Hydroxy Acids,rough
Alpha Hydroxy Acids,dryness
Amino Acids,dullness
Amino Acids,dryness
Amoxicillin,aging
Amoxicillin,acne
Apple Cider Vinegar,exfoliator/cleanser
Apple Cider Vinegar,acne
Apple Cider Vinegar,discomfort
Arbutin,uneven skintone
Arbutin,acne
Argireline,uneven skintone
Argireline,dryness
Argireline,aging
Ascorbyl Glucoside,dullness
Ascorbyl Glucoside,uneven skintone
Ascorbyl Glucoside,aging
Ascorbyl Glucoside,sun protectant
Avocado Oil,sun protectant
Azelaic Acid,aging
Azelaic Acid,discomfort
Azelaic Acid,exfoliator/cleanser
Azelaic Acid,uneven skintone
Azelaic Acid,acne
Bakuchiol,acne
Bakuchiol,aging
Benzoyl Peroxide,acne
Benzyl Alcohol,discomfort
Benzyl Alcohol,aging
Beta Glucan,dullness
Beta Glucan,rough
Beta Glucan,dryness
Biotin,discomfort
Butylene Glycol,dryness
Caffeine,dullness
Caffeine,redness
Caffeine,aging
Caprylyl Glycol,discomfort
Caprylyl Glycol,uneven skintone
Caprylyl Glycol,dryness
Caprylyl Glycol,hydrating
Caprylyl Glycol,oiliness
Carrot,dullness
Carrot,redness
Castor Oil,exfoliator/cleanser
Castor Oil,discomfort
Castor Oil,dryness
Ceramides,sun protectant
Ceramides,dryness
Ceramides,aging
Ceramides,discomfort
Cetearyl Alcohol,discomfort
Cetearyl Alcohol,uneven skintone
Cetearyl Alcohol,dullness
Charcoal,exfoliator/cleanser
Cocoa Butter,dryness
Cocoa Butter,aging
Collagen,dryness
Colloidal Oatmeal,uneven skintone
Colloidal Oatmeal,dryness
Colloidal Oatmeal,hydrating
,dullness
CoQ10,sun protectant
CoQ10,uneven skintone
Cyclopentasiloxane,dryness
Cyclopentasiloxane,rough
Dimethicone,dryness
Dimethicone,rough
Emollients,uneven skintone
Emollients,dryness
Emollients,rough
Emollients,hydrating
Eucalyptus Oil,dullness
Eucalyptus Oil,acne
Eucalyptus Oil,redness
Ferulic Acid,aging
Ferulic Acid,uneven skintone
GLUCONOLACTONE,dullness
GLUCONOLACTONE,dryness
GLUCONOLACTONE,rough
GLUCONOLACTONE,uneven skintone
Glycerin,dryness
Goji Berry,uneven skintone
Grapeseed Oil,sun protectant
Grapeseed Oil,uneven skintone
Grapeseed Oil,acne
Grapeseed Oil,dryness
Grapeseed Oil,aging
,aging
,acne
,discomfort
Hemp Seed Oil,dryness
Hemp Seed Oil,redness
Hemp Seed Oil,oiliness
Hyaluronic Acid,dryness
Hyaluronic Acid,discomfort
Hyaluronic Acid,aging
Hydrocortisone,redness
Isopropyl Myristate,dryness
Isopropyl Myristate,discomfort
Isopropyl Myristate,dullness
Isopropyl Myristate,oiliness
Isopropyl Myristate,rough
Jojoba Oil,dullness
Jojoba Oil,redness
Jojoba Oil,acne
Jojoba Oil,dryness
Jojoba Oil,oiliness
Jojoba Oil,discomfort
Kojic Acid,dullness
Kojic Acid,uneven skintone
Kojic Acid,aging
Lactic Acid,aging
Lactic Acid,acne
Lanolin,dryness
Lavender Oil,acne
Lavender Oil,discomfort
Lavender Oil,sun protectant
Licorice Extract,redness
Licorice Extract,uneven skintone
Magnesium,discomfort
Magnesium,acne
Malic Acid,aging
Malic Acid,uneven skintone
Malic Acid,dullness
Malic Acid,exfoliator/cleanser
Malic Acid,acne
Mandelic Acid,aging
Mandelic Acid,acne
Mandelic Acid,dullness
Manuka Honey,dryness
Manuka Honey,redness
Manuka Honey,acne
Manuka Honey,discomfort
Marshmallow Root Extract,dryness
Marshmallow Root Extract,redness
Marshmallow Root Extract,discomfort
Marula Oil,dullness
Marula Oil,dryness
Marula Oil,redness
Marula Oil,acne
Marula Oil,rough
Methylparaben,uneven skintone
Methylparaben,acne
Methylparaben,aging
Mineral Oil,dryness
Mineral Oil,rough
Moringa Oil,aging
Moringa Oil,redness
Moringa Oil,discomfort
Muslin Cloths,exfoliator/cleanser
Muslin Cloths,redness
Vitamin B3 (Niacinamide),uneven skintone
Vitamin B3 (Niacinamide),aging
Vitamin B3 (Niacinamide),acne
Vitamin B3 (Niacinamide),dullness
Octinoxate,uneven skintone
Octinoxate,sun protectant
Octinoxate,discomfort
Octinoxate,sun-protectant
Panthenol,redness
Panthenol,dryness
Panthenol,discomfort
Panthenol,rough
Polyhydroxy Acid (PHA),aging
Polyhydroxy Acid (PHA),sun protectant
Polyhydroxy Acid (PHA),exfoliator/cleanser
Polyhydroxy Acid (PHA),discomfort
Phenoxyethanol,discomfort
Phenoxyethanol,uneven skintone
Phenoxyethanol,acne
Phytosphingosine,redness
Phytosphingosine,dryness
Phytosphingosine,acne
Polypeptides,aging
Polypeptides,acne
Pomegranate,dryness
Pomegranate,exfoliator/cleanser
Prickly Pear Oil,redness
Prickly Pear Oil,dryness
Propanediol,dryness
Propylene Glycol,dryness
Pycnogenol,uneven skintone
Pycnogenol,aging
Resveratrol,aging
Resveratrol,discomfort
Retin-A,dullness
Retinaldehyde,dryness
Retinaldehyde,discomfort
Retinaldehyde,acne
Retinaldehyde,uneven skintone
Retinaldehyde,dullness
Retinaldehyde,aging
Retinol,uneven skintone
Retinol,exfoliator/cleanser
Retinol,aging
Palmitate,dryness
Palmitate,acne
Palmitate,uneven skintone
Palmitate,dullness
Palmitate,aging
Rosehip Oil,uneven skintone
Rosehip Oil,aging
Rosehip Oil,dullness
Rosehip Oil,dryness
Seaweed,exfoliator/cleanser
Seaweed,dullness
Seaweed,oiliness
Seaweed,dryness
Shea Butter,dullness
Shea Butter,dryness
Shea Butter,discomfort
Snail mucin,dryness
Sodium Ascorbyl Phosphate,dullness
Sodium Ascorbyl Phosphate,uneven skintone
Sodium Ascorbyl Phosphate,aging
Sodium Ascorbyl Phosphate,acne
Sodium Ascorbyl Phosphate,sun protectant
Sodium Hyaluronate,dryness
Sodium Lauryl Sulfate,exfoliator/cleanser
Spironolactone,acne
Spironolactone,oiliness
Sulfur,aging
Sulfur,acne
Tamanu Oil,dullness
Tamanu Oil,redness
Tamanu Oil,acne
Tamanu Oil,discomfort
tepezcohuite,dryness
tepezcohuite,discomfort
Tranexamic Acid,uneven skintone
Tranexamic Acid,dullness
Tranexamic Acid,acne
Tranexamic Acid,aging
Triethanolamine,discomfort
Triethanolamine,dullness
,exfoliator/cleanser
,discomfort
Undecylenic Acid,uneven skintone
Urea 40,aging
Urea 40,dryness
Urea 40,discomfort
Vitamin B3 (Niacinamide),uneven skintone
Vitamin B3 (Niacinamide),aging
Vitamin B3 (Niacinamide),acne
Vitamin B3 (Niacinamide),dullness
Vitamin C,sun protectant
Vitamin C,uneven skintone
Vitamin D,redness
Vitamin D,discomfort
Vitamin D,dullness
Vitamin E,dullness
Vitamin E,dryness
Vitamin E,rough
Vitamin F,dullness
Vitamin F,dryness
Vitamin F,redness
Volcanic Ash,acne
zinc,redness
zinc,acne
zinc,oiliness
